,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Arraial do Cabo,-22.97,-42.03,71.6,88,75,9.17,BR,1600212772
1,São Filipe,14.9,-24.5,79.86,82,68,6.35,CV,1600212895
2,Pilot Butte,50.47,-104.42,59.0,58,90,17.22,CA,1600212896
3,Yellowknife,62.46,-114.35,37.99,29,20,10.29,CA,1600212898
4,Jamestown,42.1,-79.24,60.01,67,1,5.82,US,1600212861
5,Salamanca,40.83,-6.0,60.01,87,67,3.24,ES,1600212900
6,Ilulissat,69.22,-51.1,42.8,70,100,16.11,GL,1600212902
7,Puerto Ayora,-0.74,-90.35,68.0,89,72,5.99,EC,1600212903
8,Olinda,-8.01,-34.86,78.8,74,40,11.41,BR,1600212905
9,Barrow,71.29,-156.79,35.6,86,90,27.51,US,1600212906
10,Tuktoyaktuk,69.45,-133.04,39.2,77,40,9.17,CA,1600212907
11,Busselton,-33.65,115.33,53.01,77,36,10.96,AU,1600212909
12,Segezha,63.74,34.32,41.85,92,13,5.39,RU,1600212910
13,Road Town,18.42,-64.62,84.2,79,40,6.93,VG,1600212911
14,Butaritari,3.07,172.79,83.52,73,81,16.82,KI,1600212913
15,Leh,34.17,77.58,47.66,48,0,4.07,IN,1600212914
16,Punta Arenas,-53.15,-70.92,37.4,64,20,5.82,CL,1600212915
17,Mataura,-46.19,168.86,51.01,81,100,11.99,NZ,1600212916
18,Tocopilla,-22.09,-70.2,63.45,55,18,11.16,CL,1600212918
19,Flinders,-34.58,150.86,66.99,80,0,7.0,AU,1600212919
20,Djebeniana,35.03,10.91,75.2,83,0,6.93,TN,1600212920
21,Ambilobe,-13.2,49.05,67.51,81,57,6.11,MG,1600212921
22,Qaanaaq,77.48,-69.36,19.58,78,0,6.08,GL,1600212923
23,Grindavik,63.84,-22.43,39.2,86,100,11.41,IS,1600212924
24,Shar,49.59,81.05,63.18,43,97,16.08,KZ,1600212925
25,Kununurra,-15.77,128.73,80.6,65,64,6.93,AU,1600212781
26,Pangnirtung,66.15,-65.71,42.8,52,40,10.29,CA,1600212928
27,Hong Kong,22.29,114.16,82.99,88,7,11.01,HK,1600212929
28,Broken Hill,-31.95,141.43,69.8,22,41,12.75,AU,1600212930
29,Aklavik,68.22,-135.01,44.6,70,75,13.87,CA,1600212931
30,Port Alfred,-33.59,26.89,58.59,82,78,11.77,ZA,1600212933
31,Saint-Philippe,-21.36,55.77,66.2,59,75,9.17,RE,1600212934
32,Sinnamary,5.38,-52.95,78.17,87,54,6.76,GF,1600212935
33,George Town,5.41,100.34,77.0,88,20,2.24,MY,1600212936
34,Rafai,4.95,23.92,68.61,99,100,2.71,CF,1600212938
35,Kyra,49.58,111.98,46.6,83,100,7.63,RU,1600212939
36,Clyde River,70.47,-68.59,33.8,86,90,12.75,CA,1600212940
37,Rikitea,-23.12,-134.97,73.98,72,7,4.25,PF,1600212942
38,Nueva Rosita,27.95,-101.22,87.01,46,42,1.99,MX,1600212943
39,New Norfolk,-42.78,147.06,54.0,65,100,5.01,AU,1600212944
40,Ranong,9.97,98.63,77.0,94,40,5.68,TH,1600212945
41,Hilo,19.73,-155.09,84.2,62,40,9.17,US,1600212947
42,Ushuaia,-54.8,-68.3,35.6,69,40,32.21,AR,1600212812
43,Hermanus,-34.42,19.23,43.0,94,20,8.46,ZA,1600212949
44,Srīvardhan,18.03,73.02,77.07,91,100,1.81,IN,1600212950
45,Nikolskoye,59.7,30.79,45.0,93,97,2.24,RU,1600212952
46,Provideniya,64.38,-173.3,50.0,81,75,8.95,RU,1600212953
47,Novy Urengoy,66.08,76.63,46.89,90,71,10.63,RU,1600212954
48,Shingū,33.73,135.98,75.2,78,75,2.24,JP,1600212955
49,Richards Bay,-28.78,32.04,65.52,78,100,7.72,ZA,1600212957
50,Faanui,-16.48,-151.75,78.19,76,1,14.34,PF,1600212958
51,Barra dos Coqueiros,-10.91,-37.04,78.8,74,40,12.75,BR,1600212959
52,Norman Wells,65.28,-126.83,50.0,57,20,11.41,CA,1600212961
53,Antalya Province,36.77,30.72,77.0,69,0,3.36,TR,1600212749
54,Barraute,48.43,-77.63,46.0,93,90,11.41,CA,1600212691
55,Nelson Bay,-32.72,152.15,71.01,72,5,6.93,AU,1600212964
56,La Asuncion,11.03,-63.86,81.79,84,92,10.8,VE,1600212966
57,Megion,61.03,76.11,48.2,76,38,8.95,RU,1600212967
58,Denpasar,-8.65,115.22,75.2,100,40,5.82,ID,1600212968
59,Kachīry,53.07,76.1,56.97,69,100,11.7,KZ,1600212970
60,Parabel',58.7,81.48,46.99,94,37,11.1,RU,1600212971
61,Shelburne,44.08,-80.2,62.6,63,20,13.87,CA,1600212972
62,Khani,41.96,42.96,69.8,100,75,3.36,GE,1600212974
63,Albany,42.6,-73.97,55.0,65,41,2.93,US,1600212943
64,Amudat,1.95,34.95,71.74,57,50,2.44,UG,1600212976
65,Zhigansk,66.77,123.37,45.03,75,0,9.22,RU,1600212978
66,Avarua,-21.21,-159.78,77.0,69,74,16.11,CK,1600212870
67,Jinchang,38.5,102.17,56.48,33,48,2.62,CN,1600212980
68,Fethiye,36.62,29.12,77.0,78,0,3.36,TR,1600212981
69,Atuona,-9.8,-139.03,78.53,74,8,17.43,PF,1600212983
70,Alofi,-19.06,-169.92,78.8,69,75,23.04,NU,1600212984
71,Kapaa,22.08,-159.32,87.8,58,75,10.29,US,1600212985
72,Sabang,5.89,95.32,82.9,71,99,16.93,ID,1600212987
73,Alpine,32.84,-116.77,97.0,19,0,5.99,US,1600212988
74,Acapulco de Juárez,16.86,-99.89,84.2,79,75,6.93,MX,1600212989
75,Carnarvon,-24.87,113.63,66.2,93,0,18.34,AU,1600212991
76,Semey,50.41,80.23,66.2,39,100,17.9,KZ,1600212992
77,Tiksi,71.69,128.87,42.19,82,25,1.05,RU,1600212994
78,Kamenka,51.32,42.77,54.0,82,14,10.71,RU,1600212995
79,Port Hardy,50.7,-127.42,69.8,64,90,10.29,CA,1600212996
80,Beyneu,45.32,55.2,62.74,48,57,14.47,KZ,1600212997
81,Mujiayingzi,42.12,118.78,51.06,61,0,17.29,CN,1600212999
82,Ikom,5.97,8.71,73.27,97,100,2.64,NG,1600213000
83,Hamilton,39.18,-84.53,70.0,56,1,4.7,US,1600213001
84,Yerbogachën,61.28,108.01,47.61,74,47,0.38,RU,1600213003
85,Iquique,-20.22,-70.14,60.8,77,90,11.41,CL,1600212930
86,Saint-Augustin,51.23,-58.65,46.87,54,29,10.0,CA,1600213005
87,Birnin Kebbi,12.45,4.2,78.69,80,99,3.47,NG,1600213007
88,Marsá Maţrūḩ,31.35,27.25,75.2,78,40,5.82,EG,1600213008
89,Rafrāf,37.19,10.18,73.4,88,40,6.93,TN,1600213009
90,Palmer,42.16,-72.33,57.2,62,90,3.36,US,1600213011
91,Kruisfontein,-34.0,24.73,50.0,91,0,1.99,ZA,1600213012
92,Hithadhoo,-0.6,73.08,81.48,71,75,7.9,MV,1600213013
93,Iqaluit,63.75,-68.51,35.6,81,75,8.05,CA,1600213015
94,Lebu,-37.62,-73.65,50.09,95,100,2.44,CL,1600213016
95,Goundi,9.36,17.37,72.3,97,63,1.43,TD,1600213017
96,Cape Town,-33.93,18.42,50.0,87,4,4.7,ZA,1600212876
97,Kupang,-10.17,123.58,80.6,57,20,11.41,ID,1600212869
98,Ponta Delgada,37.73,-25.67,62.6,63,20,3.36,PT,1600213021
99,Vaini,-21.2,-175.2,77.0,78,20,12.75,TO,1600213023
100,Adwa,14.16,38.9,59.5,85,2,0.36,ET,1600213024
101,Alice Springs,-23.7,133.88,75.2,25,0,12.75,AU,1600212812
102,Nabire,-3.37,135.48,82.47,70,100,3.56,ID,1600213026
103,Bredasdorp,-34.53,20.04,50.0,81,10,5.82,ZA,1600213028
104,Nuuk,64.18,-51.72,42.8,93,82,8.05,GL,1600212862
105,Dikson,73.51,80.55,42.64,94,97,18.88,RU,1600213030
106,Tura,25.52,90.22,73.53,98,100,3.94,IN,1600213032
107,Khatanga,71.97,102.5,47.98,83,100,6.26,RU,1600213033
108,Rocha,-34.48,-54.33,50.02,79,68,7.99,UY,1600213034
109,Chacabuco,-34.64,-60.47,50.0,64,77,3.0,AR,1600212752
110,Kerema,-7.96,145.78,82.54,74,41,3.27,PG,1600213037
111,Chokurdakh,70.63,147.92,40.21,71,98,8.08,RU,1600213038
112,Sattahip,12.67,100.9,78.8,94,20,4.7,TH,1600213040
113,Gīdam,18.98,81.4,73.29,93,67,0.22,IN,1600213041
114,Airai,-8.93,125.41,68.7,45,38,4.43,TL,1600213042
115,Makakilo City,21.35,-158.09,87.8,55,1,10.29,US,1600212927
116,Nanortalik,60.14,-45.24,43.79,89,100,20.02,GL,1600213045
117,Valparaíso,-33.04,-71.63,54.0,81,90,6.93,CL,1600212981
118,Kendallville,41.44,-85.27,66.2,63,0,3.36,US,1600213047
119,Ous,60.91,61.52,48.88,97,100,10.31,RU,1600213049
120,Saint Paul Harbor,57.79,-152.41,56.28,90,90,10.56,US,1600213050
121,Taiobeiras,-15.81,-42.23,67.6,78,32,7.67,BR,1600213052
122,Port Elizabeth,-33.92,25.57,59.0,77,75,6.93,ZA,1600213053
123,Río Gallegos,-51.62,-69.22,39.2,51,20,14.99,AR,1600213054
124,Vokhma,58.93,46.76,44.96,92,71,8.7,RU,1600213056
125,Upernavik,72.79,-56.15,27.57,86,5,11.05,GL,1600213057
126,Huaihua,27.55,109.96,68.05,93,100,2.95,CN,1600213058
127,Severo-Kuril'sk,50.68,156.12,55.8,63,66,12.77,RU,1600213060
128,Līsakovsk,52.54,62.49,47.23,71,95,22.75,KZ,1600213061
129,Castro,-24.79,-50.01,56.03,84,71,6.6,BR,1600212912
130,Lavrentiya,65.58,-171.0,45.84,85,94,15.66,RU,1600213063
131,Trofors,65.53,13.41,46.4,81,100,6.93,NO,1600213065
132,Portland,45.52,-122.68,77.0,56,90,6.02,US,1600212828
133,Pevek,69.7,170.31,42.51,81,99,4.9,RU,1600213068
134,Chui,-33.7,-53.46,50.5,85,54,3.71,UY,1600213069
135,Leningradskiy,69.38,178.42,38.57,88,100,8.68,RU,1600213070
136,Wanning,18.8,110.4,82.9,77,75,1.63,CN,1600213072
137,Rafaela,-31.25,-61.49,55.0,55,38,1.99,AR,1600213073
138,Bluff,-46.6,168.33,51.01,81,100,11.99,NZ,1600213074
139,Faya,18.39,42.45,66.2,72,56,0.58,SA,1600213076
140,Ouadda,8.08,22.4,67.62,92,92,3.33,CF,1600213077
141,Axum,14.12,38.72,56.57,92,5,1.03,ET,1600213079
142,Cidreira,-30.18,-50.21,59.94,85,100,22.28,BR,1600213080
143,Ribeira Grande,38.52,-28.7,66.02,61,61,14.14,PT,1600213081
144,Santarém,-2.44,-54.71,80.6,88,87,1.05,BR,1600212800
145,Srednekolymsk,67.45,153.68,43.5,79,100,6.82,RU,1600213084
146,Nichinan,31.6,131.37,73.4,88,75,3.36,JP,1600212884
147,Safaga,26.73,33.94,86.0,42,0,9.17,EG,1600213086
148,Port Blair,11.67,92.75,82.44,77,84,13.44,IN,1600213087
149,Kimbe,-5.55,150.14,89.1,55,59,5.44,PG,1600213089
150,Quatre Cocos,-20.21,57.76,69.01,64,75,10.29,MU,1600213090
151,Flin Flon,54.77,-101.86,51.8,57,75,9.17,CA,1600213091
152,Timrå,62.49,17.33,52.0,93,100,12.75,SE,1600213093
153,Pascagoula,30.37,-88.56,78.8,83,90,21.92,US,1600213094
154,Meulaboh,4.14,96.13,75.92,85,83,4.38,ID,1600213095
155,Mount Gambier,-37.83,140.77,53.6,81,75,9.17,AU,1600213097
156,Port Augusta,-32.5,137.77,70.0,35,75,1.01,AU,1600213098
157,Fort Nelson,58.81,-122.7,57.2,44,40,8.05,CA,1600213099
158,Hobart,-42.88,147.33,54.0,62,75,12.17,AU,1600212942
159,Katsuura,35.13,140.3,75.0,85,93,1.99,JP,1600213102
160,Abu Dhabi,24.47,54.37,87.8,62,0,4.7,AE,1600213103
161,Bengkulu,-3.8,102.27,75.27,87,81,3.47,ID,1600212896
162,Chiang Klang,19.29,100.86,77.0,94,75,0.56,TH,1600213106
163,Saint George,37.1,-113.58,99.0,6,1,5.82,US,1600213107
164,Maceo,6.55,-74.79,68.43,98,100,1.1,CO,1600213108
165,Jumla,29.27,82.18,56.1,68,91,1.57,NP,1600213110
166,Yumen,40.28,97.2,58.37,28,100,8.84,CN,1600213111
167,Wattegama,6.8,81.48,77.04,77,71,8.72,LK,1600213112
